country_region,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Canada,2020-04-17,-37.285714285714285,-15.428571428571429,-10.928571428571429,-48.92857142857143,-51.07142857142857,18.785714285714285
Canada,2020-04-18,-40.0,-18.5,-9.0,-40.214285714285715,-35.714285714285715,10.428571428571429
Canada,2020-04-19,-47.0,-30.0,4.75,-56.083333333333336,-36.75,9.25
Canada,2020-04-20,-33.214285714285715,-14.714285714285714,7.714285714285714,-48.07142857142857,-50.642857142857146,15.428571428571429
Canada,2020-04-21,-34.642857142857146,-14.857142857142858,1.6428571428571428,-48.785714285714285,-50.92857142857143,16.142857142857142
Canada,2020-04-22,-35.5,-15.428571428571429,-5.714285714285714,-48.214285714285715,-50.57142857142857,16.714285714285715
Canada,2020-04-23,-34.357142857142854,-12.785714285714286,3.4285714285714284,-48.142857142857146,-50.357142857142854,16.642857142857142
Canada,2020-04-24,-40.142857142857146,-15.428571428571429,-0.42857142857142855,-46.857142857142854,-48.714285714285715,17.071428571428573
Canada,2020-04-25,-37.357142857142854,-16.071428571428573,7.714285714285714,-38.785714285714285,-34.57142857142857,9.357142857142858
Canada,2020-04-26,-39.0,-21.666666666666668,28.75,-51.5,-34.25,8.0
Canada,2020-04-27,-31.857142857142858,-13.571428571428571,5.928571428571429,-47.642857142857146,-49.142857142857146,14.928571428571429
Canada,2020-04-28,-32.785714285714285,-12.071428571428571,6.357142857142857,-46.357142857142854,-49.642857142857146,11.571428571428571
Canada,2020-04-29,-30.857142857142858,-10.642857142857142,15.642857142857142,-44.714285714285715,-49.357142857142854,15.285714285714286
Canada,2020-04-30,-30.142857142857142,-8.857142857142858,14.214285714285714,-45.357142857142854,-49.42857142857143,15.357142857142858
Canada,2020-05-01,-35.857142857142854,-10.714285714285714,8.642857142857142,-43.714285714285715,-46.57142857142857,16.071428571428573
Canada,2020-05-02,-35.357142857142854,-13.785714285714286,9.642857142857142,-33.785714285714285,-31.928571428571427,8.857142857142858
Canada,2020-05-03,-34.583333333333336,-17.083333333333332,66.0,-42.083333333333336,-29.416666666666668,6.833333333333333
Canada,2020-05-04,-28.928571428571427,-10.571428571428571,11.214285714285714,-45.5,-46.92857142857143,14.0
Canada,2020-05-05,-30.214285714285715,-9.357142857142858,21.571428571428573,-44.07142857142857,-47.285714285714285,14.714285714285714
Canada,2020-05-06,-27.428571428571427,-6.857142857142857,37.57142857142857,-39.857142857142854,-46.857142857142854,14.0
Canada,2020-05-07,-28.214285714285715,-6.214285714285714,26.714285714285715,-44.142857142857146,-46.42857142857143,14.571428571428571
Canada,2020-05-08,-30.285714285714285,-6.428571428571429,14.0,-43.214285714285715,-44.214285714285715,15.214285714285714
Canada,2020-05-09,-31.642857142857142,-3.2142857142857144,-1.5714285714285714,-38.357142857142854,-28.642857142857142,8.5
France,2020-02-15,-0.7857142857142857,-0.6428571428571429,23.142857142857142,20.714285714285715,-1.5714285714285714,-0.6428571428571429
France,2020-02-16,6.357142857142857,3.857142857142857,11.642857142857142,12.571428571428571,-0.7857142857142857,-0.9285714285714286
France,2020-02-17,2.0,2.357142857142857,17.714285714285715,-2.5714285714285716,-15.214285714285714,3.857142857142857
France,2020-02-18,5.071428571428571,2.2142857142857144,37.214285714285715,-0.9285714285714286,-13.928571428571429,2.9285714285714284
France,2020-02-19,-2.7142857142857144,-2.7142857142857144,16.642857142857142,-2.9285714285714284,-12.0,2.0714285714285716
France,2020-02-20,-0.42857142857142855,-0.8571428571428571,25.071428571428573,-2.0,-15.142857142857142,2.7142857142857144
France,2020-02-21,-0.8571428571428571,-1.0,29.571428571428573,4.071428571428571,-15.642857142857142,3.142857142857143
France,2020-02-22,-6.5,-2.357142857142857,29.357142857142858,22.642857142857142,-5.142857142857143,-0.5
France,2020-02-23,7.571428571428571,7.142857142857143,25.642857142857142,16.285714285714285,-0.9285714285714286,-1.3571428571428572
France,2020-02-24,2.357142857142857,2.857142857142857,40.214285714285715,-2.9285714285714284,-18.642857142857142,3.7857142857142856
